|chapter|sec|no|content|lang
183|4|18|18|But it is good to have an interest in a good cause at all times, and not only when I am present with you.|en
184|4|19|19|我小子阿，我為你們再受生產之苦，直等到基督成形在你們心裡。|zh
185|4|19|19|My children, of whom I am again in birth-pains till Christ is formed in you,|en
186|4|20|20|我巴不得現今在你們那裡，改換口氣，因我為你們心裡作難。|zh
187|4|20|20|Truly my desire is to be present with you now, using a changed voice; for I am troubled about you.|en
188|4|21|21|你們這願意在律法以下的人，請告訴我，你們豈沒有聽見律法麼？|zh
189|4|21|21|Say, you whose desire it is to be under the law, do you not give ear to the law?|en
190|4|22|22|因為律法上記著，亞伯拉罕有兩個兒子，一個是使女生的，一個是自主之婦人生的。|zh
191|4|22|22|Because it is in the Writings, that Abraham had two sons, one by the servant-woman, and one by the free woman.|en
192|4|23|23|然而，那使女所生的是按著血氣生的；那自主之婦人所生的是憑著應許生的。|zh
193|4|23|23|Now the son by the servant-woman has his birth after the flesh; but the son by the free woman has his birth through the undertaking of God.|en
194|4|24|24|這都是比方：那兩個婦人就是兩約。一約是出於西乃山，生子為奴，乃是夏甲。|zh
195|4|24|24|Which things have a secret sense; because these women are the two agreements; one from the mountain of Sinai, giving birth to servants, which is Hagar.|en
196|4|25|25|這夏甲二字是指著亞拉伯的西乃山，與現在的耶路撒冷同類，因耶路撒冷和他的兒女都是為奴的。|zh
197|4|25|25|Now this Hagar is the mountain Sinai in Arabia, and is the image of the Jerusalem which now is: which is a servant with her children.|en
198|4|26|26|但那在上的耶路撒冷是自主的，他是我們的母。|zh
199|4|26|26|But the Jerusalem on high is free, which is our mother.|en
200|4|27|27|因為經上記著：不懷孕、不生養的，你要歡樂；未曾經過產難的，你要高聲歡呼；因為沒有丈夫的，比有丈夫的兒女更多。|zh
201|4|27|27|For it is in the Writings, You who have never given birth, be glad; give cries of joy, you who have had no birth-pains; for the children of her who has been given up by her husband are more than those of the woman who has a husband.|en
202|4|28|28|弟兄們，我們是憑著應許作兒女，如同以撒一樣。|zh
203|4|28|28|Now we, brothers, as Isaac was, are the children of the undertaking of God.|en
204|4|29|29|當時，那按著血氣生的逼迫了那按著聖靈生的，現在也是這樣。|zh
205|4|29|29|But as in those days he who had birth after the flesh was cruel to him who had birth after the Spirit, even so it is now.|en
206|4|30|30|然而經上是怎麼說的呢？是說：把使女和他兒子趕出去！因為使女的兒子不可與自主婦人的兒子一同承受產業。|zh
207|4|30|30|What then do the Writings say? Send away the servant-woman and her son; for the son of the servant-woman will not have a part in the heritage with the son of the free woman.|en
208|4|31|31|弟兄們，這樣看來，我們不是使女的兒女，乃是自主婦人的兒女了。|zh
209|4|31|31|So, brothers, we are not children of the servant-woman, but of the free woman.|en
