|chapter|sec|no|content|lang
82|2|12|12|這樣看來，我親愛的弟兄，你們既是常順服的，不但我在你們那裡，就是我如今不在你們那裡，更是順服的，就當恐懼戰兢做成你們得救的工夫。|zh
83|2|12|12|So then, my loved ones, as you have at all times done what I say, not only when I am present, but now much more when I am not with you, give yourselves to working out your salvation with fear in your hearts;|en
84|2|13|13|因為你們立志行事都是神在你們心裡運行，為要成就他的美意。|zh
85|2|13|13|For it is God who is the cause of your desires and of your acts, for his good pleasure.|en
86|2|14|14|凡所行的，都不要發怨言，起爭論，|zh
87|2|14|14|Do all things without protests and arguments;|en
88|2|15|15|使你們無可指摘，誠實無偽，在這彎曲悖謬的世代作神無瑕疵的兒女。你們顯在這世代中，好像明光照耀，|zh
89|2|15|15|So that you may be holy and gentle, children of God without sin in a twisted and foolish generation, among whom you are seen as lights in the world,|en
90|2|16|16|將生命的道表明出來，叫我在基督的日子好誇我沒有空跑，也沒有徒勞。|zh
91|2|16|16|Offering the word of life; so that I may have glory in you in the day of Christ, because my running was not for nothing and my work was not without effect.|en
92|2|17|17|我以你們的信心為供獻的祭物，我若被澆奠在其上，也是喜樂，並且與你們眾人一同喜樂。|zh
93|2|17|17|And even if I am offered like a drink offering, giving myself for the cause and work of your faith, I am glad and have joy with you all:|en
94|2|18|18|你們也要照樣喜樂，並且與我一同喜樂。|zh
95|2|18|18|And in the same way do you be glad and have a part in my joy.|en
96|2|19|19|我靠主耶穌指望快打發提摩太去見你們，叫我知道你們的事，心裡就得著安慰。|zh
97|2|19|19|But I am hoping in the Lord Jesus to send Timothy to you before long, so that I may be comforted when I have news of you.|en
98|2|20|20|因為我沒有別人與我同心，實在罣念你們的事。|zh
99|2|20|20|For I have no man of like mind who will truly have care for you.|en
100|2|21|21|別人都求自己的事，並不求耶穌基督的事。|zh
101|2|21|21|For they all go after what is theirs, not after the things of Christ.|en
102|2|22|22|但你們知道提摩太的明證；他興旺福音，與我同勞，待我像兒子待父親一樣。|zh
103|2|22|22|But his quality is clear to you; how, as a child is to its father, so he was a help to me in the work of the good news.|en
104|2|23|23|所以，我一看出我的事要怎樣了結，就盼望立刻打發他去；|zh
105|2|23|23|Him then I am hoping to send as quickly as possible, when I am able to see how things will go for me:|en
106|2|24|24|但我靠著主自信我也必快去。|zh
107|2|24|24|But I have faith in the Lord that I myself will come before long.|en
108|2|25|25|然而，我想必須打發以巴弗提到你們那裡去。他是我的兄弟，與我一同做工，一同當兵，是你們所差遣的，也是供給我需用的。|zh
109|2|25|25|But it seemed to me necessary to send to you Epaphroditus, my brother, who has taken part with me in the work and in the fight, and your servant, sent by you for help in my need;|en
110|2|26|26|他很想念你們眾人，並且極其難過，因為你們聽見他病了。|zh
111|2|26|26|Because his heart was with you all, and he was greatly troubled because you had news that he was ill:|en
112|2|27|27|他實在是病了，幾乎要死；然而神憐恤他，不但憐恤他，也憐恤我，免得我憂上加憂。|zh
113|2|27|27|For in fact he was ill almost to death: but God had mercy on him; and not only on him but on me, so that I might not have grief on grief.|en
114|2|28|28|所以我越發急速打發他去，叫你們再見他，就可以喜樂，我也可以少些憂愁。|zh
115|2|28|28|I have sent him, then, the more gladly, so that when you see him again, you may be happy and I may have the less sorrow.|en
116|2|29|29|故此，你們要在主裡歡歡樂樂的接待他，而且要尊重這樣的人；|zh
117|2|29|29|So take him to your hearts in the Lord with all joy, and give honour to such as he is:|en
118|2|30|30|因他為做基督的工夫，幾乎至死，不顧性命，要補足你們供給我的不及之處。|zh
119|2|30|30|Because for the work of Christ he was near to death, putting his life in danger to make your care for me complete.|en
120|3|1|1|弟兄們，我還有話說，你們要靠主喜樂。我把這話再寫給你們，於我並不為難，於你們卻是妥當。|zh
121|3|1|1|For the rest, my brothers, be glad in the Lord. Writing the same things to you is no trouble to me, and for you it is safe.|en
122|3|2|2|應當防備犬類，防備作惡的，防備妄自行割的。|zh
123|3|2|2|Be on the watch against dogs, against the workers of evil, against those of the circumcision:|en
124|3|3|3|因為真受割禮的，乃是我們這以神的靈敬拜、在基督耶穌裡誇口、不靠著肉體的。|zh
125|3|3|3|For we are the circumcision, who give worship to God and have glory in Jesus Christ, and have no faith in the flesh:|en
126|3|4|4|其實，我也可以靠肉體；若是別人想他可以靠肉體，我更可以靠著了。|zh
127|3|4|4|Even though I myself might have faith in the flesh: if any other man has reason to have faith in the flesh, I have more:|en
128|3|5|5|我第八天受割禮；我是以色列族、便雅憫支派的人，是希伯來人所生的希伯來人。就律法說，我是法利賽人；|zh
129|3|5|5|Being given circumcision on the eighth day, of the nation of Israel, of the tribe of Benjamin, a Hebrew of Hebrews; in relation to the law, a Pharisee:|en
130|3|6|6|就熱心說，我是逼迫教會的；就律法上的義說，我是無可指摘的。|zh
131|3|6|6|In bitter hate I was cruel to the church; I kept all the righteousness of the law to the last detail.|en
132|3|7|7|只是我先前以為與我有益的，我現在因基督都當作有損的。|zh
133|3|7|7|But those things which were profit to me, I gave up for Christ.|en
134|3|8|8|不但如此，我也將萬事當作有損的，因我以認識我主基督耶穌為至寶。我為他已經丟棄萬事，看作糞土，為要得著基督；|zh
135|3|8|8|Yes truly, and I am ready to give up all things for the knowledge of Christ Jesus my Lord, which is more than all: for whom I have undergone the loss of all things, and to me they are less than nothing, so that I may have Christ as my reward,|en
136|3|9|9|並且得以在他裡面，不是有自己因律法而得的義，乃是有信基督的義，就是因信神而來的義，|zh
137|3|9|9|And be seen in him, not having my righteousness which is of the law, but that which is through faith in Christ, the righteousness which is of God by faith:|en
