,Unnamed: 0,idx,abb,abb_cn,book,book_cn,chapter,sec,no1,no,chinese,english
18781,18781,23,Isa,賽,Isaiah,以賽亞書,57,16,16,16,我必不永遠相爭，也不長久發怒，恐怕我所造的人與靈性都必發昏。,"For I will not give punishment for ever, or be angry without end: for from me breath goes out; and I it was who made the souls."
18782,18782,23,Isa,賽,Isaiah,以賽亞書,57,17,17,17,因他貪婪的罪孽，我就發怒擊打他；我向他掩面發怒，他卻仍然隨心背道。,"I was quickly angry with his evil ways, and sent punishment on him, veiling my face in wrath: and he went on, turning his heart from me."
18783,18783,23,Isa,賽,Isaiah,以賽亞書,57,18,18,18,我看見他所行的道，也要醫治他；又要引導他，使他和那一同傷心的人再得安慰。,"I have seen his ways, and I will make him well: I will give him rest, comforting him and his people who are sad."
18784,18784,23,Isa,賽,Isaiah,以賽亞書,57,19,19,19,我造就嘴唇的果子；願平安康泰歸與遠處的人，也歸與近處的人；並且我要醫治他。這是耶和華說的。,"I will give the fruit of the lips: Peace, peace, to him who is near and to him who is far off, says the Lord; and I will make him well."
18785,18785,23,Isa,賽,Isaiah,以賽亞書,57,20,20,20,惟獨惡人，好像翻騰的海，不得平靜；其中的水常湧出污穢和淤泥來。,"But the evil-doers are like the troubled sea, for which there is no rest, and its waters send up earth and waste."
18786,18786,23,Isa,賽,Isaiah,以賽亞書,57,21,21,21,我的神說：惡人必不得平安！,"There is no peace, says my God, for the evil-doers."
18787,18787,23,Isa,賽,Isaiah,以賽亞書,58,1,1,1,你要大聲喊叫，不可止息；揚起聲來，好像吹角。向我百姓說明他們的過犯；向雅各家說明他們的罪惡。,"Make a loud cry, do not be quiet, let your voice be sounding like a horn, and make clear to my people their evil doings, and to the family of Jacob their sins."
18788,18788,23,Isa,賽,Isaiah,以賽亞書,58,2,2,2,他們天天尋求我，樂意明白我的道，好像行義的國民，不離棄他們神的典章，向我求問公義的判語，喜悅親近　神。,"Though they make prayer to me every day, and take pleasure in the knowledge of my ways: like a nation which has done righteousness, and has not given up the rules of their God, they make requests to me for the right orders, it is their delight to come near to God."
18789,18789,23,Isa,賽,Isaiah,以賽亞書,58,3,3,3,他們說：我們禁食，你為何不看見呢？我們刻苦己心，你為何不理會呢？看哪，你們禁食的日子仍求利益，勒逼人為你們做苦工。,"They say, Why have we kept ourselves from food, and you do not see it? why have we kept ourselves from pleasure, and you take no note of it? If, in the days when you keep from food, you take the chance to do your business, and get in your debts;"
18790,18790,23,Isa,賽,Isaiah,以賽亞書,58,4,4,4,你們禁食，卻互相爭競，以凶惡的拳頭打人。你們今日禁食，不得使你們的聲音聽聞於上。,"If keeping from food makes you quickly angry, ready for fighting and giving blows with evil hands; your holy days are not such as to make your voice come to my ears on high."
18791,18791,23,Isa,賽,Isaiah,以賽亞書,58,5,5,5,這樣禁食豈是我所揀選、使人刻苦己心的日子麼？豈是叫人垂頭像葦子，用麻布和爐灰鋪在他以下麼？你這可稱為禁食、為耶和華所悅納的日子麼？,"Have I given orders for such a day as this? a day for keeping yourselves from pleasure? is it only a question of the bent head, of putting on haircloth, and being seated in the dust? is this what seems to you a holy day, well-pleasing to the Lord?"
18792,18792,23,Isa,賽,Isaiah,以賽亞書,58,6,6,6,我所揀選的禁食不是要鬆開凶惡的繩，解下軛上的索，使被欺壓的得自由，折斷一切的軛麼？,"Is not this the holy day for which I have given orders: to let loose those who have wrongly been made prisoners, to undo the bands of the yoke, and to let the crushed go free, and every yoke be broken?"
18793,18793,23,Isa,賽,Isaiah,以賽亞書,58,7,7,7,不是要把你的餅分給飢餓的人，將飄流的窮人接到你家中，見赤身的給他衣服遮體，顧恤自己的骨肉而不掩藏麼？,"Is it not to give your bread to those in need, and to let the poor who have no resting-place come into your house? to put a robe on the unclothed one when you see him, and not to keep your eyes shut for fear of seeing his flesh?"
18794,18794,23,Isa,賽,Isaiah,以賽亞書,58,8,8,8,這樣，你的光就必發現如早晨的光，你所得的醫治要速速發明。你的公義必在你前面行；耶和華的榮光必作你的後盾。,"Then will light be shining on you like the morning, and your wounds will quickly be well: and your righteousness will go before you, and the glory of the Lord will come after you."
18795,18795,23,Isa,賽,Isaiah,以賽亞書,58,9,9,9,那時你求告，耶和華必應允；你呼求，他必說：我在這裡。你若從你中間除掉重軛和指摘人的指頭，並發惡言的事，,"Then at the sound of your voice, the Lord will give an answer; at your cry he will say, Here am I. If you take away from among you the yoke, the putting out of the finger of shame, and the evil word;"
18796,18796,23,Isa,賽,Isaiah,以賽亞書,58,10,10,10,你心若向飢餓的人發憐憫，使困苦的人得滿足，你的光就必在黑暗中發現；你的幽暗必變如正午。,"And if you give your bread to those in need of it, so that the troubled one may have his desire; then you will have light in the dark, and your night will be as the full light of the sun:"
18797,18797,23,Isa,賽,Isaiah,以賽亞書,58,11,11,11,耶和華也必時常引導你，在乾旱之地使你心滿意足，骨頭強壯。你必像澆灌的園子，又像水流不絕的泉源。,"And the Lord will be your guide at all times; in dry places he will give you water in full measure, and will make strong your bones; and you will be like a watered garden, and like an ever-flowing spring."
18798,18798,23,Isa,賽,Isaiah,以賽亞書,58,12,12,12,那些出於你的人必修造久已荒廢之處；你要建立拆毀累代的根基。你必稱為補破口的，和重修路徑與人居住的。,"And your sons will be building again the old waste places: you will make strong the bases of old generations: and you will be named, He who puts up the broken walls, and, He who makes ready the ways for use."
18799,18799,23,Isa,賽,Isaiah,以賽亞書,58,13,13,13,你若在安息日掉轉（或譯：謹慎）你的腳步，在我聖日不以操作為喜樂，稱安息日為可喜樂的，稱耶和華的聖日為可尊重的；而且尊敬這日，不辦自己的私事，不隨自己的私意，不說自己的私話，,"If you keep the Sabbath with care, not doing your business on my holy day; and if the Sabbath seems to you a delight, and the new moon of the Lord a thing to be honoured; and if you give respect to him by not doing your business, or going after your pleasure, or saying unholy words;"
18800,18800,23,Isa,賽,Isaiah,以賽亞書,58,14,14,14,你就以耶和華為樂。耶和華要使你乘駕地的高處，又以你祖雅各的產業養育你。這是耶和華親口說的。,Then the Lord will be your delight; and I will put you on the high places of the earth; and I will give you the heritage of Jacob your father: for the mouth of the Lord has said it.
18801,18801,23,Isa,賽,Isaiah,以賽亞書,59,1,1,1,耶和華的膀臂並非縮短，不能拯救，耳朵並非發沉，不能聽見，,"Truly, the Lord's hand has not become short, so that he is unable to give salvation; and his ear is not shut from hearing:"
18802,18802,23,Isa,賽,Isaiah,以賽亞書,59,2,2,2,但你們的罪孽使你們與神隔絕；你們的罪惡使他掩面不聽你們。,"But your sins have come between you and your God, and by your evil doings his face has been veiled from you, so that he will give you no answer."
18803,18803,23,Isa,賽,Isaiah,以賽亞書,59,3,3,3,因你們的手被血沾染，你們的指頭被罪孽沾污，你們的嘴唇說謊言，你們的舌頭出惡語。,"For your hands are unclean with blood, and your fingers with sin; your lips have said false things, and your tongue gives out deceit."
18804,18804,23,Isa,賽,Isaiah,以賽亞書,59,4,4,4,無一人按公義告狀，無一人憑誠實辨白；都倚靠虛妄，說謊言。所懷的是毒害；所生的是罪孽。,"No one puts forward an upright cause, or gives a true decision: their hope is in deceit, and their words are false; they are with child with sin, and give birth to evil."
18805,18805,23,Isa,賽,Isaiah,以賽亞書,59,5,5,5,他們菢毒蛇蛋，結蜘蛛網；人吃這蛋必死。這蛋被踏，必出蝮蛇。,"They give birth to snake's eggs, and make spider's threads: whoever takes their eggs for food comes to his death, and the egg which is crushed becomes a poison-snake."
18806,18806,23,Isa,賽,Isaiah,以賽亞書,59,6,6,6,所結的網不能成為衣服；所做的也不能遮蓋自己。他們的行為都是罪孽；手所做的都是強暴。,"Their twisted threads will not make clothing, and their works will give them nothing for covering themselves: their works are works of sin, and violent acts are in their hands."
18807,18807,23,Isa,賽,Isaiah,以賽亞書,59,7,7,7,他們的腳奔跑行惡；他們急速流無辜人的血；意念都是罪孽，所經過的路都荒涼毀滅。,"Their feet go quickly to evil, and they take delight in the death of the upright; their thoughts are thoughts of sin; wasting and destruction are in their ways."
18808,18808,23,Isa,賽,Isaiah,以賽亞書,59,8,8,8,平安的路，他們不知道；所行的事沒有公平。他們為自己修彎曲的路；凡行此路的都不知道平安。,"They have no knowledge of the way of peace, and there is no sense of what is right in their behaviour: they have made for themselves ways which are not straight; whoever goes in them has no knowledge of peace."
18809,18809,23,Isa,賽,Isaiah,以賽亞書,59,9,9,9,因此，公平離我們遠，公義追不上我們。我們指望光亮，卻是黑暗，指望光明，卻行幽暗。,"For this cause our right is far from us, and righteousness does not overtake us: we are looking for light, but there is only the dark; for the shining of the sun, but our way is in the night."
18810,18810,23,Isa,賽,Isaiah,以賽亞書,59,10,10,10,我們摸索牆壁，好像瞎子；我們摸索，如同無目之人。我們晌午絆腳，如在黃昏一樣；我們在肥壯人中，像死人一般。,"We go on our way, like blind men feeling for the wall, even like those who have no eyes: we are running against things in daylight as if it was evening; our place is in the dark like dead men."
18811,18811,23,Isa,賽,Isaiah,以賽亞書,59,11,11,11,我們咆哮如熊，哀鳴如鴿；指望公平，卻是沒有；指望救恩，卻遠離我們。,"We make noises of grief, like bears, and sad sounds like doves: we are looking for our right, but it is not there; for salvation, but it is far from us."
18812,18812,23,Isa,賽,Isaiah,以賽亞書,59,12,12,12,我們的過犯在你面前增多，罪惡作見證告我們；過犯與我們同在。至於我們的罪孽，我們都知道：,"For our evil doings are increased before you, and our sins give witness against us: for our evil doings are with us, and we have knowledge of our sins:"
18813,18813,23,Isa,賽,Isaiah,以賽亞書,59,13,13,13,就是悖逆、不認識耶和華，轉去不跟從我們的神，說欺壓和叛逆的話，心懷謊言，隨即說出。,"We have gone against the Lord, and been false to him, turning away from our God, our words have been uncontrolled, and in our hearts are thoughts of deceit."
18814,18814,23,Isa,賽,Isaiah,以賽亞書,59,14,14,14,並且公平轉而退後，公義站在遠處；誠實在街上仆倒，正直也不得進入。,"And the right is turned back, and righteousness is far away: for good faith is not to be seen in the public places, and upright behaviour may not come into the town."
18815,18815,23,Isa,賽,Isaiah,以賽亞書,59,15,15,15,誠實少見；離惡的人反成掠物。那時，耶和華看見沒有公平，甚不喜悅。,"Yes, faith is gone; and he whose heart is turned from evil comes into the power of the cruel: and the Lord saw it, and he was angry that there was no one to take up their cause."
18816,18816,23,Isa,賽,Isaiah,以賽亞書,59,16,16,16,他見無人拯救，無人代求，甚為詫異，就用自己的膀臂施行拯救，以公義扶持自己。,"And he saw that there was no man, and was surprised that there was no one to take up their cause: so his arm gave salvation, and he made righteousness his support."
18817,18817,23,Isa,賽,Isaiah,以賽亞書,59,17,17,17,他以公義為鎧甲（或譯：護心鏡），以拯救為頭盔，以報仇為衣服，以熱心為外袍。,"Yes, he put on righteousness as a breastplate, and salvation as a head-dress; and he put on punishment as clothing, and wrath as a robe."
18818,18818,23,Isa,賽,Isaiah,以賽亞書,59,18,18,18,他必按人的行為施報，惱怒他的敵人，報復他的仇敵向眾海島施行報應。,"He will give them the right reward of their doings, wrath to his attackers, punishment to his haters, and even on the sea-lands he will send punishment."
18819,18819,23,Isa,賽,Isaiah,以賽亞書,59,19,19,19,如此，人從日落之處必敬畏耶和華的名，從日出之地也必敬畏他的榮耀；因為仇敵好像急流的河水沖來，是耶和華之氣所驅逐的。,"So they will see the name of the Lord from the west, and his glory from the east: for he will come like a rushing stream, forced on by a wind of the Lord."
18820,18820,23,Isa,賽,Isaiah,以賽亞書,59,20,20,20,必有一位救贖主來到錫安─雅各族中轉離過犯的人那裡。這是耶和華說的。,"And as a saviour he will come to Zion, turning away sin from Jacob, says the Lord."
18821,18821,23,Isa,賽,Isaiah,以賽亞書,59,21,21,21,耶和華說：至於我與他們所立的約乃是這樣：我加給你的靈，傳給你的話，必不離你的口，也不離你後裔與你後裔之後裔的口，從今直到永遠；這是耶和華說的。,"And as for me, this is my agreement with them, says the Lord: my spirit which is on you, and my words which I have put in your mouth, will not go away from your mouth, or from the mouth of your seed, or from the mouth of your seed's seed, says the Lord, from now and for ever."
18822,18822,23,Isa,賽,Isaiah,以賽亞書,60,1,1,1,興起，發光！因為你的光已經來到！耶和華的榮耀發現照耀你。,"Up! let your face be bright, for your light has come, and the glory of the Lord is shining on you."
18823,18823,23,Isa,賽,Isaiah,以賽亞書,60,2,2,2,看哪，黑暗遮蓋大地，幽暗遮蓋萬民，耶和華卻要顯現照耀你；他的榮耀要現在你身上。,"For truly, the earth will be dark, and the peoples veiled in blackest night; but the Lord will be shining on you, and his glory will be seen among you."
18824,18824,23,Isa,賽,Isaiah,以賽亞書,60,3,3,3,萬國要來就你的光，君王要來就你發現的光輝。,"And nations will come to your light, and kings to your bright dawn."
18825,18825,23,Isa,賽,Isaiah,以賽亞書,60,4,4,4,你舉目向四方觀看；眾人都聚集來到你這裡。你的眾子從遠方而來；你的眾女也被懷抱而來。,"Let your eyes be lifted up, and see: they are all coming together to you: your sons will come from far, and your daughters taken with loving care."
18826,18826,23,Isa,賽,Isaiah,以賽亞書,60,5,5,5,那時，你看見就有光榮；你心又跳動又寬暢；因為大海豐盛的貨物必轉來歸你；列國的財寶也必來歸你。,"Then you will see, and be bright with joy, and your heart will be shaking with increase of delight: for the produce of the sea will be turned to you, the wealth of the nations will come to you."
18827,18827,23,Isa,賽,Isaiah,以賽亞書,60,6,6,6,成群的駱駝，並米甸和以法的獨峰駝必遮滿你；示巴的眾人都必來到；要奉上黃金乳香，又要傳說耶和華的讚美。,"You will be full of camel-trains, even the young camels of Midian and Ephah; all from Sheba will come, with gold and spices, giving word of the great acts of the Lord."
18828,18828,23,Isa,賽,Isaiah,以賽亞書,60,7,7,7,基達的羊群都必聚集到你這裡，尼拜約的公羊要供你使用，在我壇上必蒙悅納；我必榮耀我榮耀的殿。,"All the flocks of Kedar will come together to you, the sheep of Nebaioth will be ready for your need; they will be pleasing offerings on my altar, and my house of prayer will be beautiful."
18829,18829,23,Isa,賽,Isaiah,以賽亞書,60,8,8,8,那些飛來如雲、又如鴿子向窗戶飛回的是誰呢？,"Who are these coming like a cloud, like a flight of doves to their windows?"
18830,18830,23,Isa,賽,Isaiah,以賽亞書,60,9,9,9,眾海島必等候我，首先是他施的船隻，將你的眾子連他們的金銀從遠方一同帶來，都為耶和華─你神的名，又為以色列的聖者，因為他已經榮耀了你。,"Vessels of the sea-lands are waiting for me, and the ships of Tarshish first, so that your sons may come from far, and their silver and gold with them, to the place of the name of the Lord your God, and to the Holy One of Israel, because he has made you beautiful."
18831,18831,23,Isa,賽,Isaiah,以賽亞書,60,10,10,10,外邦人必建築你的城牆；他們的王必服事你。我曾發怒擊打你，現今卻施恩憐恤你。,"And men from strange countries will be building up your walls, and their kings will be your servants: for in my wrath I sent punishment on you, but in my grace I have had mercy on you."
18832,18832,23,Isa,賽,Isaiah,以賽亞書,60,11,11,11,你的城門必時常開放，晝夜不關；使人把列國的財物帶來歸你，並將他們的君王牽引而來。,"Your doors will be open at all times; they will not be shut day or night; so that men may come into you with the wealth of the nations, with their kings at their head."
18833,18833,23,Isa,賽,Isaiah,以賽亞書,60,12,12,12,哪一邦哪一國不事奉你，就必滅亡，也必全然荒廢。,For the nation or kingdom which will not be your servant will come to destruction; such nations will be completely waste.
18834,18834,23,Isa,賽,Isaiah,以賽亞書,60,13,13,13,利巴嫩的榮耀，就是松樹、杉樹、黃楊樹，都必一同歸你，為要修飾我聖所之地；我也要使我腳踏之處得榮耀。,"The glory of Lebanon will come to you, the cypress, the plane, and the sherbin-tree together, to make my holy place beautiful; and the resting-place of my feet will be full of glory."
18835,18835,23,Isa,賽,Isaiah,以賽亞書,60,14,14,14,素來苦待你的，他的子孫都必屈身來就你；藐視你的，都要在你腳下跪拜。他們要稱你為耶和華的城，為以色列聖者的錫安。,"And the sons of those who were cruel to you will come before you with bent heads; and those who made sport of you will go down on their faces at your feet; and you will be named, The Town of the Lord, The Zion of the Holy One of Israel."
18836,18836,23,Isa,賽,Isaiah,以賽亞書,60,15,15,15,你雖然被撇棄被厭惡，甚至無人經過，我卻使你變為永遠的榮華，成為累代的喜樂。,"And though you were turned away from, and hated, and had no helper, I will make you a pride for ever, a joy from generation to generation."
18837,18837,23,Isa,賽,Isaiah,以賽亞書,60,16,16,16,你也必吃萬國的奶，又吃君王的奶。你便知道我─耶和華是你的救主，是你的救贖主，雅各的大能者。,"And you will take the milk of the nations, flowing from the breast of kings; and you will see that I, the Lord, am your saviour, and he who takes up your cause, the Strong One of Jacob."
18838,18838,23,Isa,賽,Isaiah,以賽亞書,60,17,17,17,我要拿金子代替銅，拿銀子代替鐵，拿銅代替木頭，拿鐵代替石頭；並要以和平為你的官長，以公義為你的監督。,"In place of brass, I will give gold, and for iron silver, and for wood brass, and for stones iron: and I will make Peace your judge, and Righteousness your overseer."
18839,18839,23,Isa,賽,Isaiah,以賽亞書,60,18,18,18,你地上不再聽見強暴的事，境內不再聽見荒涼毀滅的事。你必稱你的牆為拯救，稱你的門為讚美。,"Violent acts will no longer be seen in your land, wasting or destruction in your limits; but your walls will be named, Salvation, and your doors Praise."
18840,18840,23,Isa,賽,Isaiah,以賽亞書,60,19,19,19,日頭不再作你白晝的光，月亮也不再發光照耀你。耶和華卻要作你永遠的光你神要為你的榮耀。,"The sun will not be your light by day, and the moon will no longer be bright for you by night: but the Lord will be to you an eternal light, and your God your glory."
18841,18841,23,Isa,賽,Isaiah,以賽亞書,60,20,20,20,你的日頭不再下落；你的月亮也不退縮；因為耶和華必作你永遠的光。你悲哀的日子也完畢了。,"Your sun will never again go down, or your moon keep back her light: for the Lord will be your eternal light, and the days of your sorrow will be ended."
18842,18842,23,Isa,賽,Isaiah,以賽亞書,60,21,21,21,你的居民都成為義人，永遠得地為業；是我種的栽子，我手的工作，使我得榮耀。,"Your people will all be upright, the land will be their heritage for ever; the branch of my planting, the work of my hands, to be for my glory."
18843,18843,23,Isa,賽,Isaiah,以賽亞書,60,22,22,22,至小的族要加增千倍；微弱的國必成為強盛。我─耶和華要按定期速成這事。,"The smallest of their families will become a thousand, and a small one a strong nation: I, the Lord, will make it come quickly in its time."
18844,18844,23,Isa,賽,Isaiah,以賽亞書,61,1,1,1,主耶和華的靈在我身上；因為耶和華用膏膏我，叫我傳好信息給謙卑的人（或譯：傳福音給貧窮的人），差遣我醫好傷心的人，報告被擄的得釋放，被囚的出監牢；,"The spirit of the Lord is on me, because I am marked out by him to give good news to the poor; he has sent me to make the broken-hearted well, to say that the prisoners will be made free, and that those in chains will see the light again;"
18845,18845,23,Isa,賽,Isaiah,以賽亞書,61,2,2,2,報告耶和華的恩年，和我們神報仇的日子；安慰一切悲哀的人，,"To give knowledge that the year of the Lord's good pleasure has come, and the day of punishment from our God; to give comfort to all who are sad;"
18846,18846,23,Isa,賽,Isaiah,以賽亞書,61,3,3,3,賜華冠與錫安悲哀的人，代替灰塵；喜樂油代替悲哀；讚美衣代替憂傷之靈；使他們稱為公義樹，是耶和華所栽的，叫他得榮耀。,"To give them a fair head-dress in place of dust, the oil of joy in place of the clothing of grief, praise in place of sorrow; so that they may be named trees of righteousness, the planting of the Lord, and so that he may have glory."
18847,18847,23,Isa,賽,Isaiah,以賽亞書,61,4,4,4,他們必修造已久的荒場，建立先前淒涼之處，重修歷代荒涼之城。,"And they will be building again the old broken walls, and will make new the old waste places, and will put up again the towns which have been waste for long generations."
18848,18848,23,Isa,賽,Isaiah,以賽亞書,61,5,5,5,那時，外人必起來牧放你們的羊群；外邦人必作你們耕種田地的，修理葡萄園的。,"And men from strange countries will be your herdsmen, and those who are not Israelites will be your ploughmen and vine-keepers."
18849,18849,23,Isa,賽,Isaiah,以賽亞書,61,6,6,6,你們倒要稱為耶和華的祭司；人必稱你們為我們神的僕役。你們必吃用列國的財物，因得他們的榮耀自誇。,"But you will be named the priests of the Lord, the servants of our God: you will have the wealth of the nations for your food, and you will be clothed with their glory."
18850,18850,23,Isa,賽,Isaiah,以賽亞書,61,7,7,7,你們必得加倍的好處，代替所受的羞辱；分中所得的喜樂，必代替所受的凌辱。在境內必得加倍的產業；永遠之樂必歸與你們（原文是他們）。,"As they had twice as much grief, and marks of shame were their heritage, so in their land they will be rewarded twice over, and will have eternal joy."
18851,18851,23,Isa,賽,Isaiah,以賽亞書,61,8,8,8,因為我─耶和華喜愛公平，恨惡搶奪和罪孽；我要憑誠實施行報應，並要與我的百姓立永約。,"For I, the Lord, take pleasure in upright judging; I will not put up with the violent taking away of right; and I will certainly give them their reward, and I will make an eternal agreement with them."
18852,18852,23,Isa,賽,Isaiah,以賽亞書,61,9,9,9,他們的後裔必在列國中被人認識；他們的子孫在眾民中也是如此。凡看見他們的必認他們是耶和華賜福的後裔。,"And their seed will be noted among the nations, and their offspring among the peoples: it will be clear to all who see them that they are the seed to which the Lord has given his blessing."
18853,18853,23,Isa,賽,Isaiah,以賽亞書,61,10,10,10,我因耶和華大大歡喜；我的心靠神快樂。因他以拯救為衣給我穿上，以公義為袍給我披上，好像新郎戴上華冠，又像新婦佩戴妝飾。,"I will be full of joy in the Lord, my soul will be glad in my God; for he has put on me the clothing of salvation, covering me with the robe of righteousness, as the husband puts on a fair head-dress, and the bride makes herself beautiful with jewels."
18854,18854,23,Isa,賽,Isaiah,以賽亞書,61,11,11,11,田地怎樣使百穀發芽，園子怎樣使所種的發生，主耶和華必照樣使公義和讚美在萬民中發出。,"For as the earth puts out buds, and as the garden gives growth to the seeds which are planted in it, so the Lord will make righteousness and praise to be flowering before all the nations."
18855,18855,23,Isa,賽,Isaiah,以賽亞書,62,1,1,1,我因錫安必不靜默，為耶路撒冷必不息聲，直到他的公義如光輝發出，他的救恩如明燈發亮。,"Because of Zion I will not keep quiet, and because of Jerusalem I will take no rest, till her righteousness goes out like the shining of the sun, and her salvation like a burning light."
18856,18856,23,Isa,賽,Isaiah,以賽亞書,62,2,2,2,列國必見你的公義；列王必見你的榮耀。你必得新名的稱呼，是耶和華親口所起的。,"And the nations will see your righteousness, and all kings your glory: and you will have a new name, given by the mouth of the Lord."
18857,18857,23,Isa,賽,Isaiah,以賽亞書,62,3,3,3,你在耶和華的手中要作為華冠，在你神的掌上必作為冕旒。,"And you will be a fair crown in the hand of the Lord, and a king's head-dress in the hand of your God."
18858,18858,23,Isa,賽,Isaiah,以賽亞書,62,4,4,4,你必不再稱為撇棄的；你的地也不再稱為荒涼的。你卻要稱為我所喜悅的；你的地也必稱為有夫之婦。因為耶和華喜悅你，你的地也必歸他。,"You will not now be named, She who is given up; and your land will no longer be named, The waste land: but you will have the name, My pleasure is in her, and your land will be named, Married: for the Lord has pleasure in you, and your land will be married."
18859,18859,23,Isa,賽,Isaiah,以賽亞書,62,5,5,5,少年人怎樣娶處女，你的眾民（民：原文是子）也要照樣娶你；新郎怎樣喜悅新婦，你的神也要照樣喜悅你。,"For as a young man takes a virgin for his wife, so will your maker be married to you: and as a husband has joy in his bride, so will the Lord your God be glad over you."
18860,18860,23,Isa,賽,Isaiah,以賽亞書,62,6,6,6,耶路撒冷啊，我在你城上設立守望的，他們晝夜必不靜默。呼籲耶和華的，你們不要歇息，,"I have put watchmen on your walls, O Jerusalem; they will not keep quiet day or night: you who are the Lord's recorders, take no rest,"
18861,18861,23,Isa,賽,Isaiah,以賽亞書,62,7,7,7,也不要使他歇息，直等他建立耶路撒冷，使耶路撒冷在地上成為可讚美的。,"And give him no rest, till he puts Jerusalem in her place to be praised in the earth."
18862,18862,23,Isa,賽,Isaiah,以賽亞書,62,8,8,8,耶和華指著自己的右手和大能的膀臂起誓說：我必不再將你的五穀給你仇敵作食物；外邦人也不再喝你勞碌得來的新酒。,"The Lord has taken an oath by his right hand, and by the arm of his strength, Truly, I will no longer give your grain to be food for your haters; and men of strange countries will not take the wine for which your work has been done:"
18863,18863,23,Isa,賽,Isaiah,以賽亞書,62,9,9,9,惟有那收割的要吃，並讚美耶和華；那聚斂的要在我聖所的院內喝。,"But those who have got in the grain will have it for their food, and will give praise to the Lord; and those who have got in the grapes will take the wine of them in the open places of my holy house."
18864,18864,23,Isa,賽,Isaiah,以賽亞書,62,10,10,10,你們當從門經過經過，預備百姓的路；修築修築大道，撿去石頭，為萬民豎立大旗，,"Go through, go through the doors; make ready the way of the people; let the highway be lifted up; let the stones be taken away; let a flag be lifted up over the peoples."
18865,18865,23,Isa,賽,Isaiah,以賽亞書,62,11,11,11,看哪，耶和華曾宣告到地極，對錫安的居民（原文是女子）說：你的拯救者來到。他的賞賜在他那裡；他的報應在他面前。,"The Lord has sent out word to the end of the earth, Say to the daughter of Zion, See, your saviour comes; those whom he has made free are with him, and those to whom he has given salvation go before him."
18866,18866,23,Isa,賽,Isaiah,以賽亞書,62,12,12,12,人必稱他們為聖民，為耶和華的贖民；你也必稱為被眷顧、不撇棄的城。,"And they will be named, The holy people, Those whose cause has been taken up by the Lord: and you will be named, Desired, A town not given up."
18867,18867,23,Isa,賽,Isaiah,以賽亞書,63,1,1,1,這從以東的波斯拉來，穿紅衣服，裝扮華美，能力廣大，大步行走的是誰呢？就是我，是憑公義說話，以大能施行拯救。,"Who is this who comes from Edom, with blood-red robes from Bozrah? he whose clothing is fair, stepping with pride in his great strength? I whose glory is in the right, strong for salvation."
18868,18868,23,Isa,賽,Isaiah,以賽亞書,63,2,2,2,你的裝扮為何有紅色？你的衣服為何像踹酒醡的呢？,"Why is your clothing red, and why are your robes like those of one who is crushing the grapes?"
18869,18869,23,Isa,賽,Isaiah,以賽亞書,63,3,3,3,我獨自踹酒醡；眾民中無一人與我同在。我發怒將他們踹下，發烈怒將他們踐踏。他們的血濺在我衣服上，並且污染了我一切的衣裳。,"I have been crushing the grapes by myself, and of the peoples there was no man with me: in my wrath and in my passion, they were crushed under my feet; and my robes are marked with their life-blood, and all my clothing is red."
18870,18870,23,Isa,賽,Isaiah,以賽亞書,63,4,4,4,因為，報仇之日在我心中；救贖我民之年已經來到。,"For the day of punishment is in my heart, and the year for the payment of the price for my people has come."
18871,18871,23,Isa,賽,Isaiah,以賽亞書,63,5,5,5,我仰望，見無人幫助；我詫異，沒有人扶持。所以，我自己的膀臂為我施行拯救；我的烈怒將我扶持。,"And I saw that there was no helper, and I was wondering that no one gave them support: so my arm did the work of salvation, and my wrath was my support."
18872,18872,23,Isa,賽,Isaiah,以賽亞書,63,6,6,6,我發怒，踹下眾民；發烈怒，使他們沉醉，又將他們的血倒在地上。,"And in my passion the peoples were crushed under my feet, and broken in my wrath, and I put down their strength to the earth."
18873,18873,23,Isa,賽,Isaiah,以賽亞書,63,7,7,7,我要照耶和華一切所賜給我們的，提起他的慈愛和美德，並他向以色列家所施的大恩；這恩是照他的憐恤和豐盛的慈愛賜給他們的。,"I will give news of the mercies of the Lord, and his great acts, even all the things the Lord has done for us, in his great grace to the house of Israel; even all he has done for us in his unnumbered mercies."
18874,18874,23,Isa,賽,Isaiah,以賽亞書,63,8,8,8,他說：他們誠然是我的百姓，不行虛假的子民；這樣，他就作了他們的救主。,"For he said, Truly they are my people, children who will not be false: so he was their saviour out of all their trouble."
18875,18875,23,Isa,賽,Isaiah,以賽亞書,63,9,9,9,他們在一切苦難中，他也同受苦難；並且他面前的使者拯救他們；他以慈愛和憐憫救贖他們；在古時的日子常保抱他們，懷搋他們。,"It was no sent one or angel, but he himself who was their saviour: in his love and in his pity he took up their cause, and he took them in his arms, caring for them all through the years."
18876,18876,23,Isa,賽,Isaiah,以賽亞書,63,10,10,10,他們竟悖逆，使主的聖靈擔憂。他就轉作他們的仇敵，親自攻擊他們。,"But they went against him, causing grief to his holy spirit: so he was turned against them, and made war on them."
18877,18877,23,Isa,賽,Isaiah,以賽亞書,63,11,11,11,那時，他們（原文是他）想起古時的日子─摩西和他百姓，說：將百姓和牧養他全群的人從海裡領上來的在哪裡呢？將他的聖靈降在他們中間的在哪裡呢？,"Then the early days came to their minds, the days of Moses his servant: and they said, Where is he who made the keeper of his flock come up from the sea? where is he who put his holy spirit among them,"
