|chapter|sec|no|content|lang
138|7|14|14|試看惡人因奸惡而劬勞，所懷的是毒害，所生的是虛假。|zh
139|7|14|14|That man is a worker of evil; the seed of wrongdoing has given birth to deceit.|en
140|7|15|15|他掘了坑，又挖深了，竟掉在自己所挖的阱裡。|zh
141|7|15|15|He has made a hole deep in the earth, and is falling into the hole which he has made|en
142|7|16|16|他的毒害必臨到他自己的頭上；他的強暴必落到他自己的腦袋上。|zh
143|7|16|16|His wrongdoing will come back to him, and his violent behaviour will come down on his head.|en
144|7|17|17|我要照著耶和華的公義稱謝他，歌頌耶和華至高者的名。|zh
145|7|17|17|I will give praise to the Lord for his righteousness; I will make a song to the name of the Lord Most High.|en
146|8|1|1|（大衛的詩，交與伶長。用迦特樂器。）耶和華─我們的主啊，你的名在全地何其美！你將你的榮耀彰顯於天。|zh
147|8|1|1|- To the chief music-maker on the Gittith. A Psalm. Of David. - O Lord, our Lord, whose glory is higher than the heavens, how noble is your name in all the earth!|en
148|8|2|2|你因敵人的緣故，從嬰孩和吃奶的口中，建立了能力，使仇敵和報仇的閉口無言。|zh
149|8|2|2|You have made clear your strength even out of the mouths of babies at the breast, because of those who are against you; so that you may put to shame the cruel and violent man.|en
150|8|3|3|我觀看你指頭所造的天，並你所陳設的月亮星宿，|zh
151|8|3|3|When I see your heavens, the work of your fingers, the moon and the stars, which you have put in their places;|en
152|8|4|4|便說：人算甚麼，你竟顧念他？世人算甚麼，你竟眷顧他？|zh
153|8|4|4|What is man, that you keep him in mind? the son of man, that you take him into account?|en
154|8|5|5|你叫他比天使（或譯：神）微小一點，並賜他榮耀尊貴為冠冕。|zh
155|8|5|5|For you have made him only a little lower than the gods, crowning him with glory and honour.|en
156|8|6|6,7 |你派他管理你手所造的，使萬物，就是一切的牛羊、田野的獸、空中的鳥、海裡的魚，凡經行海道的，都服在他的腳下。|zh
157|8|6|6|You have made him ruler over the works of your hands; you have put all things under his feet;|en
158|8|7|7|All sheep and oxen, and all the beasts of the field;|en
159|8|8|8|The birds of the air and the fish of the sea, and whatever goes through the deep waters of the seas.|en
160|8|9|9|耶和華─我們的主啊，你的名在全地何其美！|zh
161|8|9|9|O Lord, our Lord, how noble is your name in all the earth!|en
162|9|1|1|（大衛的詩，交與伶長。調用慕拉便。）我要一心稱謝耶和華；我要傳揚你一切奇妙的作為。|zh
163|9|1|1|- To the chief music-maker on Muthlabben. A Psalm. Of David. - I will give you praise, O Lord, with all my heart; I will make clear all the wonder of your works.|en
164|9|2|2|我要因你歡喜快樂；至高者啊，我要歌頌你的名！|zh
165|9|2|2|I will be glad and have delight in you: I will make a song of praise to your name, O Most High.|en
166|9|3|3|我的仇敵轉身退去的時候，他們一見你的面就跌倒滅亡。|zh
167|9|3|3|When my haters are turned back, they will be broken and overcome before you.|en
168|9|4|4|因你已經為我伸冤，為我辨屈；你坐在寶座上，按公義審判。|zh
169|9|4|4|For you gave approval to my right and my cause; you were seated in your high place judging in righteousness.|en
170|9|5|5|你曾斥責外邦，你曾滅絕惡人；你曾塗抹他們的名，直到永永遠遠。|zh
171|9|5|5|You have said sharp words to the nations, you have sent destruction on the sinners, you have put an end to their name for ever and ever.|en
172|9|6|6|仇敵到了盡頭；他們被毀壞，直到永遠。你拆毀他們的城邑，連他們的名號都歸於無有。|zh
173|9|6|6|You have given their towns to destruction; the memory of them has gone; they have become waste for ever.|en
174|9|7|7|惟耶和華坐著為王，直到永遠；他已經為審判設擺他的寶座。|zh
175|9|7|7|But the Lord is King for ever: he has made ready his high seat for judging.|en
176|9|8|8|他要按公義審判世界，按正直判斷萬民。|zh
177|9|8|8|And he will be the judge of the world in righteousness, giving true decisions for the peoples.|en
178|9|9|9|耶和華又要給受欺壓的人作高臺，在患難的時候作高臺。|zh
179|9|9|9|The Lord will be a high tower for those who are crushed down, a high tower in times of trouble;|en
180|9|10|10|耶和華啊，認識你名的人要倚靠你，因你沒有離棄尋求你的人。|zh
181|9|10|10|And those who have knowledge of your name will put their faith in you; because you, Lord, have ever given your help to those who were waiting for you.|en
182|9|11|11|應當歌頌居錫安的耶和華，將他所行的傳揚在眾民中。|zh
183|9|11|11|Make songs of praise to the Lord, whose house is in Zion: make his doings clear to the people.|en
184|9|12|12|因為那追討流人血之罪的─他記念受屈的人，不忘記困苦人的哀求。|zh
185|9|12|12|When he makes search for blood, he has them in his memory: he is not without thought for the cry of the poor.|en
186|9|13|13|耶和華啊，你是從死門把我提拔起來的；求你憐恤我，看那恨我的人所加給我的苦難，|zh
187|9|13|13|Have mercy on me, O Lord, and see how I am troubled by my haters; let me be lifted up from the doors of death;|en
188|9|14|14|好叫我述說你一切的美德；我必在錫安城（原文是女子）的門因你的救恩歡樂。|zh
189|9|14|14|So that I may make clear all your praise in the house of the daughter of Zion: I will be glad because of your salvation.|en
190|9|15|15|外邦人陷在自己所掘的坑中；他們的腳在自己暗設的網羅裡纏住了。|zh
191|9|15|15|The nations have gone down into the hole which they made: in their secret net is their foot taken.|en
192|9|16|16|耶和華已將自己顯明了，他已施行審判；惡人被自己手所做的纏住了（或譯：他叫惡人被自己手所做的累住了）。（細拉）|zh
193|9|16|16|The Lord has given knowledge of himself through his judging: the evil-doer is taken in the net which his hands had made. (Higgaion. Selah.)|en
194|9|17|17|惡人，就是忘記神的外邦人，都必歸到陰間。|zh
195|9|17|17|The sinners and all the nations who have no memory of God will be turned into the underworld.|en
