|chapter|sec|no|content|lang
101|1|52|52|他叫有權柄的失位，叫卑賤的升高；|zh
102|1|52|52|He has put down kings from their seats, lifting up on high the men of low degree.|en
103|1|53|53|叫飢餓的得飽美食，叫富足的空手回去。|zh
104|1|53|53|Those who had no food he made full of good things; the men of wealth he sent away with nothing in their hands;|en
105|1|54|54|他扶助了他的僕人以色列，|zh
106|1|54|54|His help he has given to Israel, his servant, so that he might keep in mind his mercy to Abraham and his seed for ever,|en
107|1|55|55|為要記念亞伯拉罕和他的後裔，施憐憫直到永遠，正如從前對我們列祖所說的話。|zh
108|1|55|55|As he gave his word to our fathers.|en
109|1|56|56|馬利亞和以利沙伯同住，約有三個月，就回家去了。|zh
110|1|56|56|And Mary was with her for about three months and then went back to her house.|en
111|1|57|57|以利沙伯的產期到了，就生了一個兒子。|zh
112|1|57|57|Now it was time for Elisabeth to give birth, and she had a son.|en
113|1|58|58|鄰里親族聽見主向他大施憐憫，就和他一同歡樂。|zh
114|1|58|58|And it came to the ears of her neighbours and relations that the Lord had been very good to her, and they took part in her joy.|en
115|1|59|59|到了第八日，他們來要給孩子行割禮，並要照他父親的名字叫他撒迦利亞。|zh
116|1|59|59|And on the eighth day they came to see to the circumcision of the child, and they would have given him the name of Zacharias, his father's name;|en
117|1|60|60|他母親說：不可！要叫他約翰。|zh
118|1|60|60|But his mother made answer and said, No, his name is John.|en
119|1|61|61|他們說：你親族中沒有叫這名字的。|zh
120|1|61|61|And they said, Not one of your relations has that name.|en
121|1|62|62|他們就向他父親打手式，問他要叫這孩子甚麼名字。|zh
122|1|62|62|And they made signs to his father, to say what name was to be given to him.|en
123|1|63|63|他要了一塊寫字的板，就寫上，說：他的名字是約翰。他們便都希奇。|zh
124|1|63|63|And he sent for writing materials and put down: His name is John; and they were all surprised.|en
125|1|64|64|撒迦利亞的口立時開了，舌頭也舒展了，就說出話來，稱頌神。|zh
126|1|64|64|And straight away his mouth was open and his tongue was free and he gave praise to God.|en
127|1|65|65|周圍居住的人都懼怕；這一切的事就傳遍了猶太的山地。|zh
128|1|65|65|And fear came on all those who were living round about them: and there was much talk about all these things in all the hill-country of Judaea.|en
129|1|66|66|凡聽見的人都將這事放在心裡，說：這個孩子將來怎麼樣呢？因為有主與他同在。|zh
130|1|66|66|And all who had word of them kept them in their minds and said, What will this child be? For the hand of the Lord was with him.|en
131|1|67|67|他父親撒迦利亞被聖靈充滿了，就預言說：|zh
132|1|67|67|And his father, Zacharias, was full of the Holy Spirit, and with the voice of a prophet said these words:|en
133|1|68|68|主─以色列的神是應當稱頌的！因他眷顧他的百姓，為他們施行救贖，|zh
134|1|68|68|Praise be to the Lord, the God of Israel, for he has come to his people and made them free,|en
135|1|69|69|在他僕人大衛家中，為我們興起了拯救的角，|zh
136|1|69|69|Lifting up a horn of salvation for us in the house of his servant David,|en
137|1|70|70|正如主藉著從創世以來聖先知的口所說的話，|zh
138|1|70|70|(As he said, by the mouth of his holy prophets, from the earliest times,)|en
139|1|71|71|拯救我們脫離仇敵和一切恨我們之人的手，|zh
140|1|71|71|Salvation from those who are against us, and from the hands of those who have hate for us;|en
141|1|72|72|向我們列祖施憐憫，記念他的聖約─|zh
142|1|72|72|To do acts of mercy to our fathers and to keep in mind his holy word,|en
143|1|73|73|就是他對我們祖宗亞伯拉罕所起的誓─|zh
144|1|73|73|The oath which he made to Abraham, our father,|en
145|1|74|74|叫我們既從仇敵手中被救出來，|zh
146|1|74|74|That we, being made free from the fear of those who are against us, might give him worship,|en
147|1|75|75|就可以終身在他面前，坦然無懼的用聖潔、公義事奉他。|zh
148|1|75|75|In righteousness and holy living before him all our days.|en
149|1|76|76|孩子阿！你要稱為至高者的先知；因為你要行在主的前面，預備他的道路，|zh
150|1|76|76|And you, child, will be named the prophet of the Most High: you will go before the face of the Lord, to make ready his ways;|en
151|1|77|77|叫他的百姓因罪得赦，就知道救恩。|zh
152|1|77|77|To give knowledge of salvation to his people, through the forgiveness of sins,|en
153|1|78|78|因我們神憐憫的心腸，叫清晨的日光從高天臨到我們，|zh
154|1|78|78|Because of the loving mercies of our God, by which the dawn from heaven has come to us,|en
155|1|79|79|要照亮坐在黑暗中死蔭裡的人，把我們的腳引到平安的路上。|zh
156|1|79|79|To give light to those in dark places, and in the shade of death, so that our feet may be guided into the way of peace.|en
157|1|80|80|那孩子漸漸長大，心靈強健，住在曠野，直到他顯明在以色列人面前的日子。|zh
158|1|80|80|And the child became tall, and strong in spirit; and he was living in the waste land till the day when he came before the eyes of Israel.|en
159|2|1|1|當那些日子，該撒亞古士督有旨意下來，叫天下人民都報名上冊。|zh
160|2|1|1|Now it came about in those days that an order went out from Caesar Augustus that there was to be a numbering of all the world.|en
